X,Y,objectid,num_est,cod_nodo,nom_est,id_trazado,num_vag,long_est,ancho_est,area_est,cap_biart,cap_art,observac,esta_oper,eta_oper,tipo_esta,ub_est,num_acc,acc_esp,acc_depr,acc_puent,globalid
1000853.4994,1008770.8556,350,04107,4107,Escuela Militar,TZ005,2,122,0,0,120,152,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 40,1,0,0,1,{B0B83729-15A7-4601-91D3-CB6EA215104B}
992921.9267,1003833.4299,351,05101,5101,Mandalay,TZ009,2,115.705,0,0,96,144,Valores de capacidad de buses en proceso de actualización,1,1,4,AV Americas KR 73,1,0,0,1,{62985140-4A0D-4836-B385-97DFA40DF999}
997472.4294,1011752.9198,352,04003,4003,AV. Cali,TZ005,2,142.15,0,0,144,160,Valores de capacidad de buses en proceso de actualización,1,1,2,KR 86,1,0,0,1,{C71A9BFC-0C6B-4E96-9279-51E4329653A8}
998893.3613,1015834.3902,353,03002,3002,Suba - TV. 91,TZ003,4,273.89,0,0,96,168,Valores de capacidad de buses en proceso de actualización,1,1,4,AV Suba KR 90,2,1,0,1,{432F2761-2294-4225-9601-DC9D09A0848A}
998559.0833,1001857.6982,354,12003,12003,Ricaurte - CL 13,TZ009,6,184.2,0,0,120,192,Valores de capacidad de buses en proceso de actualización,1,1,3,CL 13 - KR 28,2,1,1,0,{638AB824-C6F6-4A92-A78C-609F76A59269}
997345.5945,998413.051100001,355,09104,9104,Restrepo,TZ012,2,120.17,0,0,72,128,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 19 Sur - AV 1 De M,2,2,0,0,{28AF1EB5-E2C1-49EB-B98B-B76D95965E54}
1002768.045,1013088.2665,356,02201,2201,Prado,TZ002,3,148,0,0,72,176,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 128 B,1,0,0,1,{EE93D9BE-CBC7-4042-8128-EE40029B06BF}
1003764.6779,1019088.519,357,02502,2502,Terminal,TZ002,1,48.79,0,0,72,80,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 190,1,0,0,1,{3FCCF1C2-3F9C-40C6-83FC-9A081421E2B1}
1002049.5867,1008824.1398,358,02302,2302,Virrey,TZ002,3,193.28,0,0,144,208,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 90,1,0,0,1,{06D47C1B-7666-4132-8575-EDE68BEE6904}
1003353.2911,1016586.1918,359,02101,2101,Toberin - Foundever,TZ002,5,335,0,0,216,336,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 165,1,0,0,1,{13B9E9FE-D465-48E0-8CB7-FDC8469CD4AE}
1002462.9467,1011271.228,360,02204,2204,Pepe Sierra,TZ002,2,104.62,0,0,72,128,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 116,1,0,0,1,{03F6147D-9C25-43E1-8D86-BF81C1095625}
1002196.3278,1009703.4531,361,02300,2300,Calle 100 - Marketmedios,TZ002,3,203.61,0,0,168,224,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 97,2,0,0,2,{D90DAB0A-FC99-4299-B243-4F366AB041E7}
1002995.089,1014447.6701,362,02105,2105,Calle 142,TZ002,4,221.09,0,0,48,132,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 142,1,0,0,1,{FFB0B3BF-D217-49FB-922D-2015A236AD2E}
1003490.5027,1017518.6953,363,02000,2000,Portal Norte,TZ002,1,365.66,0,0,78,132,Valores de capacidad de buses en proceso de actualización,1,1,1,CL 173,1,0,0,1,{1B7B90FA-7DA7-4F59-8DCE-CAFF38C5E0B8}
1003668.0639,1018482.2801,364,02001,2001,Calle 187,TZ002,1,40.9,0,0,72,80,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 184,1,0,0,1,{59491EEA-B585-4878-BC88-B0CAFC47FF16}
1002889.961,1013818.0856,365,02200,2200,Alcalá – Colegio S. Tomás Dominicos,TZ002,3,205.19,0,0,168,224,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 137,2,0,0,2,{0BB31CAA-F314-4720-9A1B-BD9AE6FDB1AA}
1003071.1625,1014894.6972,366,02104,2104,Calle 146,TZ002,3,86.3,0,0,72,176,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 146,1,0,0,1,{BBB7421F-3F03-4D08-BB64-D10FFADF8738}
1002585.0618,1011991.1181,367,02202,2202,Calle 127,TZ002,2,104.57,0,0,72,128,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 127,1,0,0,1,{1F29B9FE-FE02-48A6-8560-2C6F14928CC8}
1001908.1604,1007954.7726,368,02304,2304,Héroes,TZ002,3,167.4,0,0,96,168,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 80,1,0,0,1,{1C6609D7-2080-4C1F-8982-34D6052A0292}
1003273.5992,1016113.4595,369,02102,2102,Calle 161,TZ002,4,172.62,0,0,0,96,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 160,1,0,0,1,{AF56C560-746F-4E8A-8FA2-942AC15E24ED}
1002366.0362,1010702.3606,370,02205,2205,Calle 106 - Explora maletas,TZ002,4,209.14,0,0,120,128,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 106,1,0,0,1,{03ADEF45-21E9-4B46-87AC-9AEF44A6F6E3}
1003139.1114,1015302.7878,371,02103,2103,Mazurén,TZ002,5,172.63,0,0,72,176,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 152,1,0,0,1,{E6519158-3A42-49EB-8C77-E80FFF267BAA}
1001066.9752,1003898.6151,372,09117,9117,Calle 45 - American School Way,TZ001,3,182.54,0,0,120,200,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 45 - CL 42A,2,2,0,0,{E9BB0D2B-C984-467F-97EA-5205D4CEA845}
1000009.5967,1009466.2594,373,04105,4105,Carrera 53,TZ005,1,45.75,0,0,72,80,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 53,1,0,0,1,{E143D885-1CA8-46F4-BB5C-1A606B4B09BB}
1001449.5534,1008781.3744,374,07101,7101,La Castellana,TZ008,4,164.3,0,0,72,160,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 30 KR 24,1,0,0,1,{2BED02FC-46E9-48D3-9043-712753894E11}
998202.1716,997870.1011,375,10002,10002,AV. 1 Mayo,TZ018,3,217.32,0,0,168,216,Valores de capacidad de buses en proceso de actualización,1,1,4,AV 1 De Mayo Con KR 7,2,2,0,0,{C488AF24-7906-4D29-BCBB-E433FD743325}
999510.7587,1001017.4814,376,14001,14001,De La Sabana,TZ009,2,96.47,0,0,48,120,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 13 - KR 16,2,2,0,0,{8FA5DAEE-A446-4D91-B633-39678A9C7130}
987726.885,999823.289100001,377,07506,7506,La Despensa,TZ011,2,89.5,0,0,72,152,Valores de capacidad de buses en proceso de actualización,1,1,4,Soacha,1,0,0,1,{C8509D1C-4B3F-45B3-8E23-CBDD0F229AEF}
1001711.6747,1006860.5683,378,09122,9122,Calle 72,TZ001,3,183.63,0,0,0,0,Valores de capacidad de buses en proceso de actualización,1,3,4,CL 72 - CL 70A,2,2,0,0,{0D2408FD-5D1E-46E2-9944-15F0B74E219C}
1000129.7482,1002681.2738,379,06109,6109,Centro Memoria,TZ016,2,130.01,0,0,120,140,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 20,2,2,0,0,{4D52CCA6-9A5F-4DD3-BE8E-42FE362C8EF1}
997344.7369,1002939.4235,380,12001,12001,Carrera 43 - Comapan,TZ009,2,96.45,0,0,48,120,Valores de capacidad de buses en proceso de actualización,1,1,4,AV Americas - KR 43,2,2,0,0,{88CE5958-8A60-4050-993D-8506376AC250}
994853.174,996020.855,381,09002,9002,Consuelo,TZ012,2,81.57,0,0,72,120,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 11A - KR 10C,1,1,0,0,{532529BC-5CA6-4781-AFCA-E432159EB9EB}
999676.5167,1000737.5783,382,09110,9110,AV. Jiménez - Caracas,TZ001,3,180.33,0,0,96,192,Valores de capacidad de buses en proceso de actualización,1,1,3,CL 13 - CL 11,2,1,1,0,{329AA9B8-20D0-4E3B-8617-3AA433E24029}
997519.6011,1000890.1705,383,07112,7112,Comuneros,TZ010,2,130.16,0,0,108,144,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 30 - CL 6A,2,1,0,1,{B3692999-B159-4A49-BE34-EB9B94D44378}
1000311.8867,1001714.2077,384,09113,9113,Calle 22,TZ001,3,183.7,0,0,120,200,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 24 - CL 22,2,2,0,0,{DE033EB3-64BE-40DB-94FC-E00B6ABAEA09}
996877.882,1006730.7856,385,06101,6101,El Tiempo – Cámara de Comercio de Bogotá,TZ016,2,96.48,0,0,120,120,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 68D,1,0,0,1,{B9D369A7-1D57-4F76-A9B3-91CB56F7F253}
990918.7351,1004612.5863,386,05002,5002,Biblioteca Tintal,TZ009,2,199.2,5,996,144,160,Valores de capacidad de buses en proceso de actualización,1,1,4,AV Cali - CL 26 Sur,2,2,0,0,{141A436C-B71E-48FD-9C8C-F634770E2791}
998574.786,998379.124600001,387,10003,10003,Ciudad Jardín - UAN,TZ018,2,108.28,0,0,120,144,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 10 - CL 12 Sur,1,1,0,0,{B4A7AE88-44BE-41B5-A679-3308C9C497DB}
999519.8015,999758.973300001,388,10005,10005,Bicentenario,TZ018,3,183.26,0,0,168,216,Valores de capacidad de buses en proceso de actualización,1,1,2,KR 10 - CL 5,1,0,0,1,{3F1909E2-E0AE-440D-B6D8-DDC3D6DFC76D}
1001294.4706,1005173.5363,389,09119,9119,Calle 57,TZ001,3,184.85,0,0,120,200,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 57 - CL 54,2,2,0,0,{2E9BA0C0-CD17-45F3-AC3D-F75275C3A192}
994131.9327,997136.501499999,390,08002,8002,Biblioteca,TZ014,1,45.68,0,0,24,36,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 48A Sur,1,1,0,0,{2A45CB56-7F2E-4D16-9C6B-72E2E0FA1FD4}
999735.3122,1003811.3691,391,07108,7108,AV. ElDorado,TZ008,2,48.1,0,0,120,140,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 30 AV 28,1,0,0,1,{EE9E1D4F-3D34-41DF-80B4-A59FEB58C7ED}
1000592.1149,1002261.9084,392,09114,9114,Calle 26,TZ001,3,182.52,0,0,0,0,Valores de capacidad de buses en proceso de actualización,1,3,4,AV Calle 28 - CL 2,2,2,0,0,{86DE991E-4FF4-4781-81DA-7571A9F71044}
993701.0904,999784.454399999,393,07005,7005,Alquería,TZ010,2,89.25,0,0,72,132,Valores de capacidad de buses en proceso de actualización,1,1,4,Autosur - KR 48,1,0,0,1,{11439CA7-3D77-4AF6-8C90-69EBC4EA5F61}
988491.1535,1000076.8629,394,07010,7010,Bosa,TZ010,2,126.08,0,0,120,152,Valores de capacidad de buses en proceso de actualización,1,1,4,Soacha,2,0,0,2,{787EA8B0-A4A4-46CD-B786-5077B42CC0D6}
999260.7327,1003009.2119,395,07109,7109,CAD,TZ008,2,130.07,0,0,120,152,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 30 - CL 26,2,0,0,2,{F7CAE820-AD0E-4F8C-BD5E-0970532D0ED5}
992425.7477,1003881.1234,396,05100,5100,Banderas,TZ009,4,536.19,0,0,288,320,Valores de capacidad de buses en proceso de actualización,1,1,2,AV Americas - KR 78,2,0,0,2,{14D3C5D0-B89B-4777-9716-16BDAD903DA9}
1000071.6858,1001289.7507,397,09111,9111,Calle 19,TZ001,3,182.49,0,0,120,200,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 19 - CL 17,2,2,0,0,{988CE02A-DB8D-4ECA-AEE0-E87065D1A44C}
999820.0577,1000754.3347,398,14003,14003,AV. Jiménez - CL 13,TZ015,5,124.6,0,0,120,152,Valores de capacidad de buses en proceso de actualización,1,1,3,CL 13 - Caracas,1,1,0,0,{4271F1F2-A418-46FE-AB8D-F4F0D4CF3537}
999904.7222,1005953.6887,399,07105,7105,Movistar Arena,TZ008,2,122.82,0,0,120,152,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 30 - CL 57,1,0,0,1,{AE16D57C-A27F-4075-A0D1-E1D2E1F01183}
1000976.21,1003394.8889,400,09116,9116,AV. 39,TZ001,3,184,0,0,120,192,Valores de capacidad de buses en proceso de actualización,1,1,4,AV 39 - AV Calle,2,2,0,0,{095A43A5-40DA-4F9A-AB8F-11540E348544}
1001801.1581,1007390.4668,401,09123,9123,Calle 76 - San Felipe,TZ001,3,182.25,0,0,120,200,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 76 - CL 74,2,2,0,0,{CA31D59A-7184-41FD-A831-480C3180E649}
1001400.7256,1005773.1497,402,09120,9120,Calle 63,TZ001,3,187.6,0,0,0,0,Valores de capacidad de buses en proceso de actualización,1,3,4,CL 63 - CL 60,2,2,0,0,{9559F94F-6058-496E-83BF-0DBF899121F5}
1001982.0787,1008416.6471,403,02303,2303,Calle 85,TZ002,4,216.42,0,0,120,200,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 85,1,0,0,1,{71EEA76F-C023-418D-98B1-759BBE80A4C7}
995520.0645,999845.096799999,404,07008,7008,NQS - Calle 30 S,TZ010,2,89.62,0,0,72,160,Valores de capacidad de buses en proceso de actualización,1,1,4,Autosur - DG 26 Sur,1,1,0,0,{D71E5696-CDA0-4651-9877-D64CE98C9409}
997655.6728,997259.4209,405,10001,10001,Country Sur,TZ018,2,115.31,0,0,120,144,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 10 - CL 28 Sur,2,2,0,0,{CA09DE17-3390-4D29-8232-911647749CE9}
1000470.6103,1009016.9689,406,04106,4106,Carrera 47,TZ005,2,155,0,0,144,160,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 46,1,1,0,0,{EACF426E-1EBC-48BD-A613-95252EB1946D}
996338.9612,1012565.3692,407,04000,4000,Portal 80,TZ005,1,281.77,0,0,55,110,Valores de capacidad de buses en proceso de actualización,1,1,1,KR 96,1,1,0,0,{B550AD63-DF8B-44D1-9DBD-9CD9B2A285B1}
996686.9924,998088.6446,408,09103,9103,Olaya,TZ012,3,76.82,0,0,120,176,Valores de capacidad de buses en proceso de actualización,1,2,4,CL 24 Sur - CL 27 Sur,1,1,0,0,{5E5CF16B-8060-4B7C-AA1B-95F2052F0386}
995079.6961,995671.203299999,409,09001,9001,Molinos,TZ012,2,108.12,0,0,144,160,Valores de capacidad de buses en proceso de actualización,1,1,2,KR 9A,2,1,0,1,{E2FD0392-9256-4978-9659-A9F6D3DFCEF7}
998178.2252,998903.528000001,410,09106,9106,Nariño,TZ012,2,88.49,0,0,48,96,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 8 Sur - CL 11 Sur,1,1,0,0,{21162215-0C5F-478B-BA8A-A6636810A232}
1000308.0337,1014514.2839,411,03004,3004,Gratamira,TZ003,2,89.35,0,0,48,96,Valores de capacidad de buses en proceso de actualización,1,1,4,AV Suba - CL 135,1,0,0,1,{97A2B751-A742-4987-BBAE-AF869C943746}
995431.9095,1003572.5822,412,05105,5105,Pradera - Plaza Central,TZ009,2,89.61,0,0,72,128,Valores de capacidad de buses en proceso de actualización,1,1,4,AV Americas - KR 64,1,0,0,1,{93FEA6D1-F845-49BA-947F-E98D11C04722}
1000352.9899,1001090.8775,413,10007,10007,Las Nieves,TZ018,2,130.1,0,0,120,144,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 10 - CL 18,2,2,0,0,{0CBB868B-863D-4F23-A6AA-1D7BFB084B0A}
995601.9688,1008716.6292,414,06001,6001,Modelia,TZ016,2,96.29,0,0,120,140,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 84,1,0,0,1,{A397594D-A387-421F-BFAF-3E7306576FBC}
995130.2498,1009443.9616,415,06000,6000,Portal El Dorado,TZ016,1,706.41,0,0,84,132,Valores de capacidad de buses en proceso de actualización,1,1,1,KR 87,0,0,0,0,{9A721D9C-4363-401A-B397-CE2BB5E6DF68}
1001607.2442,1006491.8259,416,09121,9121,Flores – Areandina,TZ001,2,109.75,0,0,72,120,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 69 - CL 67,2,2,0,0,{AB83EF8A-2259-44B4-8468-CC82E8A6B5F3}
1000509.5573,1000545.1732,417,14004,14004,Museo del Oro,TZ015,1,55.63,0,0,72,72,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 2,2,2,0,0,{9EF913EE-81BC-4DC1-8BD5-5E5E92211231}
994225.7454,999707.249399999,418,07006,7006,General Santander,TZ010,3,122.8,0,0,192,212,Valores de capacidad de buses en proceso de actualización,1,1,2,Autosur - KR 43,1,0,0,1,{B5ABC92B-637E-4116-8E6D-3EABC77ECECB}
997836.0581,996629.2554,419,10000,10000,Portal 20 de Julio,TZ018,1,489.11,0,0,130,220,Valores de capacidad de buses en proceso de actualización,1,1,1,KR 5 A CL 33 Sur,1,1,0,0,{4BCD9683-0C6E-40C8-BCAE-57FEDBD4A84F}
1000700.7626,1012217.7618,420,03007,3007,Humedal Córdoba,TZ003,2,89.4,0,0,48,108,Valores de capacidad de buses en proceso de actualización,1,1,4,AV Suba - CL 119,1,1,0,0,{2D308883-8595-4004-80F7-5A64612D327B}
993574.2086,996917.93,421,08001,8001,Parque,TZ014,1,45.66,0,0,24,36,Valores de capacidad de buses en proceso de actualización,1,1,4,CL 55 Sur,2,2,0,0,{D7402EE7-0D6F-4FDA-BC5C-99BA5BC4AAC3}
998954.1764,998901.322799999,422,10004,10004,Policarpa,TZ018,2,123.68,0,0,120,144,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 10 - CL 3 Sur,2,2,0,0,{954E9817-CFCA-4BF5-A6DE-927032C4857B}
1000918.9173,1002106.2181,423,10009,10009,Museo Nacional,TZ019,2,123.83,0,0,96,144,Valores de capacidad de buses en proceso de actualización,1,1,4,KR 7 - CL 32,1,0,1,0,{BADD370C-9A22-49A2-B308-EC210C94B976}
